id,title,year,imdb_id,tmdb_id
1309498,Prophecy,1979,tt0079758,31915
1739203,Good Burger 2,2023,tt25289836,1101582
1694684,Blue's Big City Adventure,2022,tt15038118,939210
1693401,The Fire That Took Her,2022,tt21995004,1025896
1623559,Bring Your Own Brigade,2021,tt13646976,776596
1730805,Zoey 102,2023,tt26217622,1073170
1758985,JFK: What The Doctors Saw,2023,tt29702876,1198680
1285586,On the Line,2001,tt0279286,34043
1764929,June,2023,tt18350228,1207731
1728439,The Thundermans Return,2024,tt26943420,1094556
1642247,Madonna: Madame X,2021,tt15052172,787864
1640820,Hands Up,2021,tt11851884,857980
1608726,Walkaway Joe,2020,tt4427800,553593
525873,Comedy Central Roast of Rob Lowe,2016,tt6038506,414749
1840609,Man with No Past,2025,tt31974129,1315986
1733082,Black Noise,2023,tt22805590,1159518
1665971,The Prophecy: Uprising,2005,tt0365658,19564
1576786,The Tiger's Apprentice,2024,tt5834410,598387
1685368,"The Day the Music Died: The Story of Don McLean's ""American Pie""",2022,tt12992162,985709
525859,Comedy Central Roast of Bruce Willis,2018,tt8301054,536056
1707468,Let the Canary Sing,2023,tt27736642,1122358
1443014,Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles,2014,tt3817848,280276
1318169,Red Eye,2005,tt0448707,62436
1876285,Larger than Life: Reign of the Boybands,2024,tt33058281,1379227
1817951,Detained,2024,tt8178762,1282960
1673953,PAW Patrol: Mighty Pups,2018,tt6889128,552095
1665975,The Prophecy: Forsaken,2005,tt0439771,37529
1833946,No Time to Spy: A Loud House Movie,2024,tt32223312,1280768
1627313,Love and Monsters,2021,tt13830296,656103
525876,Comedy Central Roast of William Shatner,2006,tt0840305,296194
153566,Black and White Stripes: The Juventus Story,2016,tt2091245,421064
1649529,The Crown's Ancient Forest,2021,tt15736548,904879
1392908,The Gambler,2013,tt2924336,258771
525861,Comedy Central Roast of David Hasselhoff,2010,tt1694505,296193
1666038,Rugrats: Tales from the Crib: Snow White,2005,tt1315195,309194
1362984,Student Bodies,1981,tt0083133,21515
1174995,I See You,2006,tt0857381,65956
3164640,Comedy Central Roast of Alec Baldwin,2019,tt10520800,630068
1898541,Cat Pack: A PAW Patrol Exclusive Event,2022,tt27049583,991833
1601486,Finding Yingying,2020,tt10196440,674886
1260705,Morning Glory,1933,tt0024353,31777
1873107,Nugget Is Dead?: A Christmas Story,2024,tt32424777,1374419
1678717,Organ Trail,2023,tt18071972,950141
1384848,The Coronation,2018,tt7817874,499080
1665945,Dracula III: Legacy,2005,tt0303929,10579
1872717,SpongeBob & Sandy's Country Christmas,2024,tt31227920,1373810
4148099,"PAW Patrol: Ready, Race, Rescue!",2019,tt11015752,624620
1691652,Buddy Games: Spring Awakening,2023,tt21241942,1017507
1562300,I Am Richard Pryor,2019,tt9135004,580634
1818453,Shadow Land,2024,tt31956123,1283707
3180209,What Remains,2024,tt15825188,916723
1411267,An Acceptable Loss,2019,tt7049542,553882
1698365,Smile,2022,tt15751968,1051335
1681843,The Color of Care,2022,tt18399712,967161
1982646,The Last GunFight,2025,tt36589671,1465038
1649745,The Score,2022,tt10405022,627915
1816986,Hard Home,2024,tt31974111,1281532
1313399,Quinceañera,2006,tt0451176,64499
1620928,The End of the Storm,2020,tt13365752,760982
1302376,Piñero,2001,tt0261066,55479
1702437,Kiss the Future,2024,tt17022868,1075845
1702733,Superpower,2023,tt18327788,943330
1623462,Sabaya,2021,tt13567374,776555
2749397,Smile,2023,tt22982202,1038522
1705096,Chantilly Bridge,2023,tt15038732,1094256
